ID,Title,Type,Status,Classification,Gate classification,Priority,Stage,Owner,Layers,Tests required,Dependencies,Owner decision,Next action,Blocked/Deferred reason,Source,Updated
CTRL-001,اعتماد Operations Control v2,GOVERNANCE,VERIFIED,GOVERNANCE,NOT_APPLICABLE,P1,stage-0,Product owner / Manus coordination,governance; documentation,Validator/schema test | Generated-view freshness check | Owner review evidence,,تم اعتماد الإغلاق بعد دمج PR #188 والتحقق من main؛ لا يفتح Claim كودي بهذا السجل.,لا إجراء؛ سجل Operations Control v2 مدموج ومثبت على main. التنفيذ التالي يبدأ من G-001..G-006 في Claim مستقل.,,docs/operations/control/README.md,2026-09-19
CTRL-002,مصالحة القدرات والتقارير ومصادر الحقيقة,GOVERNANCE,VERIFIED,GOVERNANCE,EVIDENCE_RECONCILIATION_REQUIRED,P1,stage-0,Product owner / Manus coordination,governance; documentation,Validator/schema test | Generated-view freshness check | Owner review evidence,,تم اعتماد الإغلاق بعد دمج PR #188 والتحقق من main؛ لا يفتح Claim كودي بهذا السجل.,لا إجراء؛ مصالحة التفسير مثبتة، ويبقى فرق 49/46 فجوة مصدر لا تُحسم بلا جدول قابل لإعادة الحساب.,,docs/operations/control/README.md,2026-09-20
G-001,فخ الاستهلاك المزدوج عند التسليم,DEFECT,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P1,audit-2026-09-19,Product owner / Manus coordination,cross-layer,"Domain/Service tests where the invariant is owned | DOM/Integration test for the affected journey | Live scenario with before/after evidence | Retry, partial failure, concurrency, or stale-read test as applicable | No regression in existing financial calculations | Merge and verification evidence on main",,,لا إجراء تنفيذي إضافي لهذا Finding؛ تبقى بوابة PRE-PILOT محجوبة حتى إغلاق بقية المتطلبات وقرار المالك.,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-20
HARD-009,إثبات إغلاق مجموعة المعالجة 9,QUALITY,VERIFIED,HARDENING,MAIN_VERIFIED,P1,hardening-verification,Product owner / Manus coordination,governance; verification,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,,,لا إجراء؛ التنفيذ موثق ومثبت في main. أعد الفتح فقط بدليل جديد.,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
HARD-010,إثبات إغلاق مجموعة المعالجة 10,QUALITY,VERIFIED,HARDENING,MAIN_VERIFIED,P1,hardening-verification,Product owner / Manus coordination,governance; verification,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,,,لا إجراء؛ التنفيذ موثق ومثبت في main. أعد الفتح فقط بدليل جديد.,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
HARD-011,إثبات إغلاق مجموعة المعالجة 11,QUALITY,VERIFIED,HARDENING,MAIN_VERIFIED,P1,hardening-verification,Product owner / Manus coordination,governance; verification,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,,,لا إجراء؛ التنفيذ موثق ومثبت في main. أعد الفتح فقط بدليل جديد.,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
HIST-001,الموجة الأولى: إصلاحات حرجة محددة,QUALITY,VERIFIED,HISTORICAL,NOT_APPLICABLE,P1,completed,Product owner / Manus coordination,historical-evidence,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,,,لا إجراء؛ لا يُعاد فتحه إلا بدليل جديد وتصنيف REOPENED.,,docs/operations/current-state.md,2026-09-17
HIST-002,الموجة الثانية: الأساسات المالية والبيانية,QUALITY,VERIFIED,HISTORICAL,NOT_APPLICABLE,P1,completed,Product owner / Manus coordination,historical-evidence,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,,,لا إجراء؛ لا يُعاد فتحه إلا بدليل جديد وتصنيف REOPENED.,,reports/agent-report/2026-09-17_wave-2-financial-data-foundations/report.md,2026-09-17
HIST-007,الموجة 4.4: الجودة النظامية والقبول المحلي,QUALITY,VERIFIED,HISTORICAL,NOT_APPLICABLE,P1,completed,Product owner / Manus coordination,historical-evidence,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,,,لا إجراء؛ لا يُعاد فتحه إلا بدليل جديد وتصنيف REOPENED.,,reports/agent-report/2026-09-18_wave-4-4-system-quality-final-qa/report.md,2026-09-18
OPS-001,المواعيد والاستحقاقات وتقادم الذمم الأساسي,FEATURE,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P1,stage-2,Product owner / Manus coordination,Layer 2; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,CTRL-001,,لا إجراء؛ OPS-001 منفذ ومتحقق على main عند bf24bdbfe653e9f7cf8f14f93af9fe6019bd1cb6 (CI أخضر على SHA نفسه). الموجة 2 (OPS-005+OPS-006) تفتح Claim مستقلًا WS-165.,,docs/operations/control/README.md,2026-09-20
OPS-005,سطح قادم موحد للدفعات والتحصيلات والطلبات والالتزامات,FEATURE,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P1,stage-2,Product owner / Manus coordination,Layer 2; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,CTRL-001; OPS-001,,لا إجراء؛ OPS-005 منفذ ومتحقق على main عند 18368558b6df0dfbc1b1910e961d1504e9e460fb (CI أخضر على SHA نفسه).,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-20
OPS-009,حماية Cost Snapshot وإعلان النتيجة النهائية أو التقديرية,QUALITY,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P1,stage-2,Product owner / Manus coordination,Layer 2; application; presentation,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,CTRL-001; OPS-007,,لا إجراء؛ OPS-009 منفذ ومتحقق على main عند 8986385fcab1e1ee38c376d938f2475b6ab1c86c (CI أخضر على SHA نفسه). الموجة 5 (OPS-008) تفتح Claim مستقلًا من رأس main المتحقق فقط.,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-21
G-002,ذرية تخصيص دفعة المورد للمحفظة,DEFECT,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P2,audit-2026-09-19,Product owner / Manus coordination,cross-layer,"Domain/Service tests where the invariant is owned | DOM/Integration test for the affected journey | Live scenario with before/after evidence | Retry, partial failure, concurrency, or stale-read test as applicable | No regression in existing financial calculations | Merge and verification evidence on main",,,لا إجراء تنفيذي إضافي لهذا Finding؛ تبقى بوابة PRE-PILOT محجوبة حتى إغلاق بقية المتطلبات وقرار المالك.,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-20
G-003,حرس القراءة القديمة عند حفظ الطلب,DEFECT,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P2,audit-2026-09-19,Product owner / Manus coordination,cross-layer,"Domain/Service tests where the invariant is owned | DOM/Integration test for the affected journey | Live scenario with before/after evidence | Retry, partial failure, concurrency, or stale-read test as applicable | No regression in existing financial calculations | Merge and verification evidence on main",,,لا إجراء تنفيذي إضافي لهذا Finding؛ تبقى بوابة PRE-PILOT محجوبة حتى إغلاق بقية المتطلبات وقرار المالك.,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-20
G-004,مطابقة تعطيل القدرات للوعد المرئي,DEFECT,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P2,audit-2026-09-19,Product owner / Manus coordination,cross-layer,"Domain/Service tests where the invariant is owned | DOM/Integration test for the affected journey | Live scenario with before/after evidence | Retry, partial failure, concurrency, or stale-read test as applicable | No regression in existing financial calculations | Merge and verification evidence on main",,,لا إجراء تنفيذي إضافي لهذا Finding؛ تبقى بوابة PRE-PILOT محجوبة حتى إغلاق بقية المتطلبات وقرار المالك.,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-20
G-005,عزل فشل قراءات صفحة المالية,DEFECT,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P2,audit-2026-09-19,Product owner / Manus coordination,cross-layer,"Domain/Service tests where the invariant is owned | DOM/Integration test for the affected journey | Live scenario with before/after evidence | Retry, partial failure, concurrency, or stale-read test as applicable | No regression in existing financial calculations | Merge and verification evidence on main",,,لا إجراء تنفيذي إضافي لهذا Finding؛ تبقى بوابة PRE-PILOT محجوبة حتى إغلاق بقية المتطلبات وقرار المالك.,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-20
HIST-003,الموجة الثالثة: العقود والملكية التقنية,QUALITY,VERIFIED,HISTORICAL,NOT_APPLICABLE,P2,completed,Product owner / Manus coordination,historical-evidence,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,,,لا إجراء؛ لا يُعاد فتحه إلا بدليل جديد وتصنيف REOPENED.,,docs/operations/current-state.md,2026-09-17
HIST-004,الموجة 4.1: مخطط تجربة المنتج,RESEARCH,VERIFIED,HISTORICAL,NOT_APPLICABLE,P2,completed,Product owner / Manus coordination,historical-evidence,Source/report comparison | Explicit unknowns and limits | Owner decision or pilot evidence,,,لا إجراء؛ لا يُعاد فتحه إلا بدليل جديد وتصنيف REOPENED.,,reports/agent-report/2026-09-17_wave-4-1-product-ux-blueprint/report.md,2026-09-17
HIST-005,الموجة 4.2: الهيكل والتنقل والتسمية,QUALITY,VERIFIED,HISTORICAL,NOT_APPLICABLE,P2,completed,Product owner / Manus coordination,historical-evidence,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,,,لا إجراء؛ لا يُعاد فتحه إلا بدليل جديد وتصنيف REOPENED.,,reports/agent-report/2026-09-17_wave-4-2-structure-navigation-naming/report.md,2026-09-17
HIST-006,الموجة 4.3: إعادة بناء أسطح المنتج,QUALITY,VERIFIED,HISTORICAL,NOT_APPLICABLE,P2,completed,Product owner / Manus coordination,historical-evidence,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,,,لا إجراء؛ لا يُعاد فتحه إلا بدليل جديد وتصنيف REOPENED.,,docs/operations/current-state.md,2026-09-18
OPS-002,تنبيهات انخفاض المخزون,FEATURE,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P2,stage-2,Product owner / Manus coordination,Layer 2; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,CTRL-001,,لا إجراء؛ OPS-002 منفذ ومتحقق على main عند ee0bcee7b2490a5977171de919496cea26252970.,,docs/operations/control/README.md,2026-09-21
OPS-003,المصروفات المتكررة المحلية,FEATURE,VERIFIED,FIX_BEFORE_PILOT,DEPENDENCY_GATE_REQUIRED_BEFORE_PILOT,P2,stage-2,Product owner / Manus coordination,Layer 2; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,CTRL-001,صدرت قرارات المالك د١–د٦ (2026-09-21، حزمة التصمين الموافقة للجلسة — قرار D-037): (د١) مخازن محلية كنسية جديدة (سلاسل/مراجعات/فترات) لا التفضيلات، برفع موثق ٣٥→٣٦ و٢٧→٢٨؛ (د٢) نمط المبلغ ثلاثي: manual بلا اقتراح، suggested مقترح اختياري قابل للتعديل معلنًا، fixed_suggested مقترح متكرر إلزامي المبلغ — والاقتراح ليس حدثًا ماليًا؛ (د٣) مفتاح الفترة YYYY-MM من businessTime وحده، dueDay ١–٣١ مع monthEndPolicy ثلاثية (آخر يوم صالح/تخطي/سؤال)، timezone عمّان حصرًا، anchor وinterval ١–١٢؛ (د٤) مفتاح الحتمية {seriesId}:{periodKey}:{occurrenceSlot} بالخانة ٠ (تسمح مستقبلًا بخانات مشروعة) وسلوك reused صادق؛ (د٥) علامة «عولجت» سجل فترة محفوظ بالقرارات كاملة (لا تُشتق من وجود حدث) — المعكوس يبقى معولجًا وreversed مشتقة من سجل الأحداث؛ (د٦) نوع الحدث operating_expense_cash|payable باختيار المستخدم عند المراجعة، وoccurredOn يعلنه المستخدم (يحدد نتيجة الفترة بعقد ٠٥ §3.2.1)، والتسجيل عبر الكاتب الكنوني record() حصرًا. النص الملزم الكامل: عقد ٤١.,لا إجراء تنفيذي إضافي لهذا البند؛ تبقى PRE-PILOT محجوبة حتى تحقق بقية المتطلبات وقرار المالك، ولا يبدأ Pilot من هذا السجل.,تقييم Wave 7 (2026-09-21، فريق تحليل من 5 عمال قراءة-فقط): المعمارية كافية فعلًا (الكاتب الكنوني ProjectFinancialService.record بحتمية type+key داخل حد الكتابة، والعكس الذري، والاشتقاق وقت القراءة، ومغلف التصدير — كلها منفذة ومختبرة)، لكن العقود لا تغطي دلالات التذكير المتكرر إطلاقًا (لا عقدًا يعرّف حقول التذكير أو قاعدة بدء الفترة أو نتيجة التأكيد أو اشتقاق مفتاح الحتمية لتكرار الفترة نفسها أو علامة «عولجت هذه الفترة» — والمصروف نفسه لا يملك قانونيًا أي حقل ربط بتذكير). تنفيذها الآن اختراع دلالات مالية متجاورة، وهو ممنوع بلا قرار مالك (AGENTS §10 قاعدة 11؛ عقد 05 §10؛ وسجل BE-001 الأصلي نفسه اشترط «عقدًا واختبارات قبل التنفيذ»). القرار الموثق سابقًا اعتمد النموذج (تذكير يحتاج تأكيدًا ولا ينشئ حدثًا تلقائيًا) ولم يعتمد الدلالات. البند يبقى DEPENDENCY_GATE_REQUIRED_BEFORE_PILOT.,docs/operations/control/README.md,2026-09-21
OPS-004,ربط القوالب بالتكلفة المخططة دون استهلاك فعلي,FEATURE,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P2,stage-2,Product owner / Manus coordination,Layer 2; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,CTRL-001,,لا إجراء؛ OPS-004 منفذ ومتحقق على main عند 0660fdcc510642831419f3cfe8b5b560773e8773 (CI أخضر على SHA نفسه). الموجة 4 (OPS-007+OPS-009) تفتح Claim مستقلًا من رأس main المتحقق فقط.,,docs/operations/control/README.md,2026-09-20
OPS-006,تقادم ديون مبسط قبل الشرائح المتقدمة,FEATURE,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P2,stage-2,Product owner / Manus coordination,Layer 2; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,CTRL-001; OPS-001,,لا إجراء؛ OPS-006 منفذ ومتحقق على main عند 18368558b6df0dfbc1b1910e961d1504e9e460fb (CI أخضر على SHA نفسه).,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-20
OPS-007,مقارنة التكلفة المخططة بالمستهلكة والفرق,FEATURE,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P2,stage-2,Product owner / Manus coordination,Layer 2; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,CTRL-001; OPS-004,,لا إجراء؛ OPS-007 منفذ ومتحقق على main عند 8986385fcab1e1ee38c376d938f2475b6ab1c86c (CI أخضر على SHA نفسه). الموجة 5 (OPS-008) تفتح Claim مستقلًا من رأس main المتحقق فقط.,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-21
OPS-008,الوقت الفعلي مقابل المخطط,FEATURE,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P2,stage-2,Product owner / Manus coordination,Layer 2; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,CTRL-001; OPS-004,,لا إجراء؛ OPS-008 منفذ ومتحقق على main عند 771db4e75b90ab0806b72efd39742e6d2516c94e (CI أخضر على SHA نفسه). الموجة 6 (OPS-002) تفتح Claim مستقلًا من رأس main المتحقق فقط.,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-21
G-006,توحيد حرس السحب بين مساري مال المالك,DEFECT,VERIFIED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P3,audit-2026-09-19,Product owner / Manus coordination,cross-layer,"Domain/Service tests where the invariant is owned | DOM/Integration test for the affected journey | Live scenario with before/after evidence | Retry, partial failure, concurrency, or stale-read test as applicable | No regression in existing financial calculations | Merge and verification evidence on main",,,لا إجراء تنفيذي إضافي لهذا Finding؛ تبقى بوابة PRE-PILOT محجوبة حتى إغلاق بقية المتطلبات وقرار المالك.,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-20
