Unified ID	Original IDs	Category	Current status	Evidence class	Evidence source	Exact affected path/screen	Reproduction state/action	User/data/financial impact	Classification	Dependency	Focused recheck needed	Owner decision needed	Notes
F10	F10 (Flash §19)؛ FI-040 (التعريف كان مفقودًا)؛ مرتبط FI-038/AUD-019 (كثافة النص)	content-density	CONFIRMED (جزئي القياس)	VERIFIED (مرئي + كود جزئي)	Flash F10 CONFIRMED_VISUAL MEDIUM؛ تحقق هذه المرحلة: فقرات شرح متكررة مؤكدة (cash≠result في ReviewPulse/PositionCard/CashDecisionSurface/OwnerDecisionCard/قسم الحقيقة)؛ الطول ~8 شاشات تقدير مرئي غير قابل للقياس من المصدر وحده	/finance (كامل الصفحة)	مرئي + قراءة مصدر	إجهاد قراءة وتنقل؛ لا أثر مالي	DEFER	قرار كثافة محتوى (AUD-019 قائم)	لا (القياس الكمي اختياري)	نعم (قرار تجميع الشروح في طبقة ثانية)	يرتبط بسلسلة كثافة النص القائمة
F11	F11 (Flash §19)؛ FI-026؛ FI4-015	navigation	CLOSED_BY_EVIDENCE	VERIFIED (مصدر + اختبار + تعداد متصفح)	Flash F11 CONFIRMED_INTERACTION MEDIUM (تمرير فقط)؛ التقرير الشامل §8 F11 NOT_REPRODUCED (تنقل حقيقي موثق بتغير URL وتعداد تخزين)؛ تحقق هذه المرحلة: Orders.tsx:396-398 (الزر الوحيد بالنص يستدعي openFromWork:128 → /direct-sales/new) + Orders.ui.test.tsx:331-335 (يجمّد دالة التنقل المشتركة عبر CTA «تسجيل بيع مباشر» ووجود زر «سجّل أول بيع») + لا scrollIntoView في Orders.tsx	/orders حالة الفراغ — زر «سجّل أول بيع»	مصدر + اختبار UI (الدالة المشتركة) + استنساخ متصفح بنقر الزر نفسه (URL /direct-sales/new?returnTo=%2Forders + عنوان النموذج)؛ مشاهدة Flash لا تفسير لها في الكود الحالي وملفات جلستها غير متاحة	لا عيب: الزر يؤدي الوعد (يفتح كاتب البيع)؛ لا كتابات في الطريق	PRESERVE	لا شيء	لا	لا	إغلاق بأدلة أقوى (3 آليات مستقلة)؛ يبقى احتياط: إن أراد المالك فتح النموذج مضمّنًا فذلك تطوير جديد لا إصلاح عيب
F12	F12 (Flash §19)؛ FI-040 (التعريف كان مفقودًا)	navigation-context	CONFIRMED	VERIFIED (مرئي + كود)	Flash F12 CONFIRMED_INTERACTION LOW؛ تحقق هذه المرحلة: homeControlCenterService.ts:144 — طريق receivables غير المسجل يقود إلى /orders	Home «لي عند العملاء: غير مسجل — سجّله» → /orders	مرئي + كود	قفزة سياق بلا مكافأة إرشادية؛ لا أثر مالي	DEFER	لا شيء إلزامي	لا	لا (تحسين ذوقي لاحق)	الاقتراح: تلميح سياقي في أعلى /orders أو هدف أذكى — موجة U
F13-A	F13 (Flash — تأكيد حذف التقديرات) ≠ F13 الشامل (تخطيط تأكيد حذف المسودة)؛ FI-027	layout	CONFIRMED (سلوك سليم)	VERIFIED (متصفح بقياس)	التقرير الشامل §8 F13 NOT_REPRODUCED (المنطقة 324px عند 390 و254px عند 320 بلا فيض)؛ تصويب هذه المرحلة للفرضية: تأكيد حذف DraftEditor مضمن (micro-draft-delete-zone كتلة كاملة العرض، DraftEditor.tsx:500-534 + index.css:4609-4620) وليس حوارًا	/orders/draft/new — منطقة حذف المسودة	مستنسخ متصفحًا بمقاييس هندسية عند 390 و320	لا عيب تخطيط في مسار المسودة؛ مشكلة الحبر (secondary بدل destructive) مسجلة FI-014	PRESERVE	لا شيء	لا	لا	التباس تعريفي بين التقريرين حُسم: كل منهما فحص سطحًا مختلفًا
F13-B	F13 (Flash — انكسار بطاقة التأكيد المضمن)؛ لا معرف FI	layout	CONFIRMED	VERIFIED (مرئي + بنية كود)	Flash F13 CONFIRMED_VISUAL MEDIUM (انكسار كلمة-كلمة عند 390)؛ تحقق هذه المرحلة: Tools.tsx:192-213 — تأكيد مضمن (role=alert) داخل صف micro-setting-row الأفقي (index.css:192-195 flex؛ 593-605 أيقونة 40px + div flex:1)؛ CSS التأكيد 4270-4282 flex-wrap داخل عمود ضيق	/tools — قائمة التقديرات المحفوظة — تأكيد الحذف المضمّن	مرئي (Flash) + بنية كود تؤكد الحصر الأفقي؛ إعادة إنتاج متصفح مركزة غير منفذة (الأولوية منخفضة والبنية كافية)	تأكيد حذف شبه غير مقروء؛ خطر حذف من سوء قراءة	FIX_NOW	لا شيء (CSS: جعل التأكيد كتلة كاملة العرض)	اختياري (لقطة بصرية بعد الإصلاح)	لا	ملاحظة: EstimateDetail.tsx:242-276 يستخدم النمط الكامل العرض نفسه — الحل موجود في المستودع ويُعمم
F14	F14 (Flash §19)؛ FI-004؛ FI2-17؛ عقد 36	ux-wording/data-safety	CONFIRMED (النطاق موسع)	VERIFIED (متصفح ×2 + كود)	Flash F14 CONFIRMED_CONTENT+INTERACTION HIGH P0؛ التقرير الشامل §8 F14 + F14-DS؛ تحقق هذه المرحلة: UnsavedChangesGuard.tsx:270-271 (النص الحرفي) + useFormDraft.ts:79-112 (حفظ تلقائي لكل تغيير) + مستهلكو useFormDraft: AssetEditor.tsx:63 / LoanEditor.tsx:65 / SupplierPurchaseEditor.tsx:190 / DirectSaleEditor.tsx:258 + DraftEditor ensureMaterialized:196-232	حوار «تعديلات غير محفوظة» في كل المحررات المدعومة بمسودات	مستنسخ متصفحًا مرتين (مسودة الطلب وبيع مباشر تبقيان بعد «اخرج دون حفظ») + كود	تناقض لفظي بين الوعد والسلوك؛ لا فساد بيانات (الحفظ التلقائي وقاية)	FIX_NOW	لا شيء (سلاسل نصية)	لا	نعم (صياغة السياسة المعلنة: ماذا يُحفظ تلقائيًا)	الحد الأدنى الآمن: «لن يُسجَّل حدث مالي تلقائيًا» + «مسودتك محفوظة محليًا — الحدث المالي لم يُسجَّل»؛ السلوك نفسه لا يتغير
F15	F15 (Flash §19)؛ FI-028؛ FI2-16؛ عقد 36/قرار 21	drafts-semantics	CLOSED_BY_EVIDENCE	VERIFIED (تعداد متصفح دقيق + كود)	Flash F15 CONFIRMED_INTERACTION MEDIUM (جلسة واحدة → مسودتان، الدلالة INFERRED)؛ التقرير الشامل §8 F15 REPRODUCED-as-designed؛ تحقق هذه المرحلة: DraftEditor.tsx:196-232 (ensureMaterialized: مسودة افتراضية لكل زيارة جديدة لـ /orders/draft/new)	/orders/draft/new ثم /orders/draft/{id}	تعداد متصفح: جولة1 → مسودة واحدة؛ إعادة فتح نفس المسودة → نفس المعرف بلا تحديث؛ جلسة جديدة → مسودة ثانية؛ حذف → واحدة	لا عيب: مسودة لكل جلسة تحرير بحكم التصميم؛ ملاحظة Flash تُفسر بجلستَي زيارة	PRESERVE	لا شيء	لا	اختياري (إن أراد المالك إعادة استخدام آخر مسودة فارغة فقرار منتج جديد)	آلية معرفة الجلسة تحسم التفسير؛ ملفات جلسة Flash غير متاحة لكن آليتها المكتشفة تطابق مشاهدته تمامًا
F16-A	F16 (Flash — الحارس يعمل عند الاتساخ)؛ FI-029	navigation-safety	CONFIRMED (سلوك سليم)	VERIFIED (متصفح + كود)	التقرير الشامل §8 F16 (حارس 3 خيارات، stay-first، Esc=بقاء، البقاء يحفظ المدخلات)؛ Flash §14 يوثق الحوار الثلاثي أيضًا	رجوع المتصفح والرجوع داخل التطبيق على نموذج متسخ	مستنسخ متصفحًا (مسار نظيف s3-03c)	الحارس يعمل عند وجود تغييرات؛ لا أثر مالي	PRESERVE	لا شيء	لا	لا	الجزء السليم من F16 — يُحفظ
F16-B	F16 (Flash — ابتلاع أول ضغطة رجوع مرتين)؛ ملاحظة الشامل «آلية غير متحققة» في FI-029؛ لا معرف FI مستقل	navigation-safety	CONFIRMED	VERIFIED (كود: آلية مؤكدة + مشاهدات متصفح متعددة)	Flash F16 CONFIRMED_INTERACTION MEDIUM (السبب INFERRED: مدخل تاريخ مكرر)؛ التقرير الشامل: مسبار أول ملتبس «no guard AND no navigation — sentinel interplay, mechanism UNVERIFIED»؛ تحقق هذه المرحلة: UnsavedChangesGuard.tsx:62-73 (دفع sentinel بنفس URL وإبقاؤه بعد الحفظ) + 91-112 (popstate) + إعادة تسجيل عند كل render بسبب onSave بسهم inline (DraftEditor.tsx:291) → مدخلات مكررة تتراكم	/orders/draft/new وكل صفحة بسجل تاريخ + حارس	كود (آلية كاملة موصوفة) + مشاهدتا Flash + مسبار الشامل الملتبس — ثلاث مشاهدات مستقلة تفسّرها الآلية نفسها	إحساس بالانحباس؛ ضغطة رجوع أولى بلا أثر مرئي؛ لا أثر مالي	FIX_NOW	اختبارات الحارس الحالية تغطي الحالة المتسخة فقط — المسارات الجديدة تحتاج اختبارات	لا	لا	آلية سبب Flash (مدخل تاريخ مكرر) مصححة: السبب الفعلي دورة حياة sentinel (بقايا بعد الحفظ + تكرار الدفع بإعادة التسجيل)؛ الإصلاح: تنظيف مدخل sentinel عند cleanup وتثبيت هوية onSave
F17	F17 (Flash §19)؛ FI-008؛ FI4-009؛ مرتبط VIS-009	a11y-platform	CONFIRMED	VERIFIED (محاكاة ×2 + كود)	Flash F17 CONFIRMED_VISUAL (تكبير CSS 200%)؛ التقرير الشامل FI-008 (محاكاة خط الجذر 200%: فيض 99px عند 320)؛ تحقق هذه المرحلة: index.css:717-743 (min-width 44 + nowrap + ellipsis في شبكة 5 أعمدة)	الشريط السفلي — تسميات المقاعد الخمسة	محاكاتان مستقلتان (CSS zoom وroot-font scaling) متفقتان + كود؛ الجهاز الحقيقي NOT_EXECUTED (بوابة DEVICE-001)	التنقل الأساسي يصعب قراءته عند تكبير عالٍ؛ لا أثر مالي	FIX_NOW	لا شيء (CSS: السماح بالالتفاف/التقاصر تحت النص الكبير)	لا (للإصلاح CSS)؛ جهاز حقيقي للتحقق النهائي (DEVICE-001)	لا	تصنيف الشامل FIX_NOW قائم؛ يُنفذ في موجة S أو U بحسب ترتيب المالك
F18	F18 (Flash §19)؛ FI-040 (التعريف كان مفقودًا)	layout-pwa	CONFIRMED (جزئي)	VERIFIED (مرئي + كود جزئي)	Flash F18 CONFIRMED_VISUAL LOW (لافتة التثبيت تملأ أول شاشة عند 320)؛ تحقق هذه المرحلة: MicroAppShell.tsx:86-89 — اللافتة تُركب أعلى main في كل مسار وليست مشروطة بوجود مشروع؛ تخطيط 320 نفسه لم يُقس بالمصدر	320px — أول شاشة (لافتة التثبيت + ترويسة ملتفة)	مرئي (Flash) + موضع التركيب مؤكد كوديًا	انطباع أول مزدحم على الشاشات الصغيرة؛ لا أثر مالي	DEFER	قرار سياسة اللافتة (مع F19)	اختياري (قياس 320)	نعم (مع F19: متى تُعرض ومتى تُكتم)	التقاصر في العرض الضيق خيار تنفيذ لموجة U
F19	F19 (Flash §19)؛ FI-040 (التعريف كان مفقودًا)	pwa-policy	CONFIRMED (مع تصويب)	VERIFIED (مرئي + كود)	Flash F19 CONFIRMED_VISUAL LOW (تعود عند كل تحميل كامل)؛ تحقق هذه المرحلة: PwaInstallControl.tsx:80-83 (تظهر عند أهلية المتصفح وغير standalone وغير مُقالة) + إقالة مستمرة 30 يومًا موجودة (pwa/install.ts:35-44 + preferences.saveInstallBannerDismissal) — لم يرصدها Flash	لافتة «ثبّت Micro على جهازك»	مرئي + كود: تعود فعلًا لمن لم يُقلها أو لم يثبت التطبيق؛ الإقالة مستمرة 30 يومًا	تكرار مزعج؛ لا أثر مالي	DEFER	قرار سياسة (كتم بعد إنشاء مشروع/رفض سابق)	لا	نعم (سؤال Flash 4)	التصويب: ليست بلا ذاكرة — الإقالة مدوّمة؛ الخيار المطروح على المالك ربطها بوجود المشروع
F20	F20 (Flash §19)؛ FI-040؛ مرتبط FI-038/AUD-019	content-density	CONFIRMED	VERIFIED (مرئي + كود)	Flash F20 CONFIRMED_CONTENT LOW (التنويه يتكرر 3 مرات في الحاسبة)؛ تحقق هذه المرحلة: تكرار فقرات الحقيقة مؤكد في عدة أسطح (نفس عائلة F10)	/tools/calculator و/finance	مرئي + قراءة مصدر	تخفيف قوة الرسالة؛ لا أثر مالي	DEFER	قرار كثافة (AUD-019)	لا	لا	الحد الأدنى المقترح: مرة واحدة بارزة + مرجع
F21	F21 (Flash §19)؛ FI-040	product-voice	CONFIRMED (مصدر واحد، تقديرية)	VERIFIED (مرئي)	Flash F21 CONFIRMED_CONTENT LOW (خلط فصحى/محكية) — ملاحظة لسانية تقديرية بطبيعتها؛ لم تتطلب تحقق كود	كل الشاشات (النبرة)	مرئي	شخصية منتج غير موحدة؛ لا أثر مالي	OWNER_DECISION_REQUIRED	دليل نبرة موحد (قرار ثم توثيق)	لا	نعم (سؤال Flash 3: محكية موحدة أم فصحى مبسطة أم مزيج مقصود)	قرار صوت المنتج يسبق أي توحيد صياغات
F22	F22 (Flash §19)؛ FI-040	interaction-semantics	CLOSED_BY_EVIDENCE	VERIFIED (كود)	Flash F22 CONFIRMED_VISUAL LOW (شفرتا تفاعل بلا تسمية تفريق)؛ تحقق هذه المرحلة: Orders.tsx:196-229 — بطاقة البيع زر واحد بمعرف وصولي واحد (aria-label «فتح بيع …») والأيقونات (رمز العملة + السهم) زخرفية aria-hidden؛ لا زر ثانٍ في البطاقة	/orders — بطاقات مبيعاتي	إحصاء كود عند الالتزام المدقق	لا عيب تفاعل مزدوج في الكود؛ الانطباع الإدراكي (أيقونتان بصريتان) قائم	PRESERVE (مع ملاحظة إدراكية)	لا شيء	لا	لا	إن أراد المالك تمييزًا بصريًا أوضح فذوق منتج في موجة U
F23	F23 (Flash §19)؛ FI-040	navigation-scroll	CONFIRMED	VERIFIED (مرئي + كود)	Flash F23 CONFIRMED_INTERACTION LOW (السبب NOT_VERIFIED لدى Flash)؛ تحقق هذه المرحلة: Setup.tsx:184 — navigate('/?setup=1', {replace:true}) بلا أي معالجة تمرير؛ لا يوجد scrollTo/scrollY=0 في أي مركز للتطبيق (الفحص الشامل للمستودع)	الإعداد → الرئيسية بعد الحفظ	مرئي (Flash) + آلية كود مؤكدة	فقدان لحظة «اسم مشروعك»؛ لا أثر مالي	FIX_NOW	لا شيء (إعادة التمرير عند التوجيه)	لا	لا	سبب مشكلة Flash (استعادة تمرير) صار مؤكدًا بالكود
